1,129275,129275
2,161433,161433
3,229322,229322
3,229329,229329
3,261389,261389
3,261396,261396
5,329322,329322
6,429294,429294
6,429299,429299
8,529312,529312
9,629306,629306
9,629312,629312
11,729322,729322
11,761392,761392
12,829319,829319
13,861412,861412
14,929299,929299
14,961402,961402
15,1029313,1029313
16,1061422,1061422
17,1129322,1129322
18,1229303,1229303
18,1229313,1229313
20,1329326,1329326
20,1361412,1361412
21,1429309,1429309
23,1529322,1529322
24,1629322,1629322
26,1729312,1729312
27,1829312,1829312
27,1829322,1829322
29,1929312,1929312
29,1929322,1929322
30,2029304,2029304
30,2029312,2029312
32,2129316,2129316
32,2129322,2129322
34,2229316,2229316
34,2229322,2229322
34,2261423,2261423
35,2329332,2329332
17,1152283,5346587
38,2529313,6723617
40,2629326,6823630
19,1252202,9640810
19,1252261,9640869
43,2829323,11217931
43,2829333,11217941
43,2861398,11250006
43,2861404,11250012
44,2929313,11317921
44,2929322,11317930
45,2961412,11350020
45,2961423,11350031
46,3029312,11417920
46,3029319,11417927
46,3061422,11450030
47,3129332,11517940
48,3161422,11550030
49,3229333,11617941
49,3261413,11650021
49,3261420,11650028
49,3261435,11650043
50,3329331,11717939
51,3361412,11750020
51,3361422,11750030
52,3429344,11817952
53,3529322,11917930
55,3629333,12017941
55,3629339,12017947
55,3661423,12050031
56,3729333,12117941
58,3829322,12217930
58,3829329,12217937
58,3861409,12250017
59,3929333,12317941
59,3929340,12317948
60,3961423,12350031
61,4029333,12417941
61,4061413,12450021
63,4129312,12517920
63,4129320,12517928
1,67095,12650007
2,135032,12717944
2,135039,12717951
2,167129,12750041
3,235020,12817932
5,335048,12917960
5,367126,12950038
6,435028,13017940
7,467106,13050018
8,535019,13117931
8,535022,13117934
8,535035,13117947
9,635038,13217950
10,667107,13250019
11,735018,13317930
12,835018,13417930
14,935027,13517939
15,1035035,13617947
16,1067129,13650041
17,1135039,13717951
17,1167107,13750019
18,1235041,13817953
18,1235048,13817960
20,1335052,13917964
21,1435018,14017930
21,1435025,14017937
23,1535025,14117937
23,1567118,14150030
24,1635047,14217959
25,1667128,14250040
26,1735018,14317930
26,1735028,14317940
28,1835039,14417951
28,1867118,14450030
51,3352162,15935074
52,3452143,16035055
29,1935036,18712252
30,1967138,18744354
31,2035030,18812246
31,2035038,18812254
31,2067108,18844324
32,2135039,18912255
32,2135045,18912261
55,3652249,20429465
56,3684483,20461699
35,2335029,23306549
35,2335036,23306556
37,2435047,23406567
38,2535045,23506565
40,2635032,23606552
40,2667105,23638625
40,2667116,23638636
41,2735048,23706568
42,2767126,23738646
43,2835038,23806558
43,2867115,23838635
44,2935051,23906571
44,2935057,23906577
46,3035042,24006562
46,3035049,24006569
3,258031,25423855
47,3135042,28300866
47,3135052,28300876
49,3235051,28400875
50,3335045,28500869
5,390179,29750307
52,3435058,32795186
53,3535028,32895156
53,3535036,32895164
54,3567120,32927248
54,3567128,32927256
55,3635028,32995156
55,3635038,32995166
55,3667129,33027257
56,3735038,33095166
56,3735045,33095173
57,3767149,33127277
58,3835038,33195166
58,3835046,33195174
60,3935039,33295167
60,3935047,33295175
60,3967159,33327287
61,4035050,33395178
61,4035055,33395183
63,4135047,33495175
63,4135056,33495184
2,140754,33695186
3,240745,33795177
3,240752,33795184
5,340744,33895176
6,440735,33995167
8,540758,34095190
8,540764,34095196
9,640754,34195186
11,740752,34295184
12,840755,34395187
14,940755,34495187
15,1040758,34595190
16,1072844,34627276
17,1140745,34695177
17,1172834,34727266
18,1240755,34795187
20,1340754,34895186
21,1440753,34995185
21,1440759,34995191
23,1540744,35095176
23,1540754,35095186
23,1572855,35127287
25,1640734,35195166
25,1640742,35195174
26,1740736,35295168
24,1590214,39338950
27,1772844,39521580
28,1840742,39589478
29,1940756,39689492
31,2040755,39789491
25,1690297,43633337
32,2140744,44083784
32,2140751,44083791
34,2240736,44183776
35,2340745,44283785
35,2340753,44283793
36,2372844,44315884
37,2440768,44383808
37,2440774,44383814
37,2472844,44415884
38,2540765,44483805
40,2640774,44583814
40,2672844,44615884
41,2740754,44683794
41,2740762,44683802
43,2840754,44783794
44,2940762,44883802
46,3040764,44983804
46,3072865,45015905
47,3140764,45083804
49,3240764,45183804
50,3340764,45283804
50,3340771,45283811
52,3440768,45383808
54,3540742,45483782
54,3572866,45515906
55,3640755,45583795
55,3640761,45583801
57,3740764,45683804
58,3840744,45783784
58,3840754,45783794
60,3940752,45883792
60,3940761,45883801
60,3972875,45915915
61,4040782,45983822
63,4140767,46083807
63,4172853,46115893
63,4172864,46115904
2,146463,46283807
2,146470,46283814
3,246484,46383828
3,246487,46383831
4,278544,46415888
5,346470,46483814
5,346477,46483821
5,378527,46515871
6,446460,46583804
7,478527,46615871
8,546470,46683814
9,646461,46783805
9,646467,46783811
10,678551,46815895
11,746467,46883811
12,846474,46983818
13,878560,47015904
52,3457898,49595242
15,1046470,51378118
16,1078547,51410195
16,1078551,51410199
17,1146441,51478089
17,1178560,51510208
55,3657735,53989383
20,1346460,55872412
21,1378551,55904503
22,1446472,55972424
22,1446477,55972429
22,1478551,56004503
23,1546468,56072420
24,1578571,56104523
25,1646477,56172429
26,1746471,56272423
26,1746477,56272429
28,1846450,56372402
29,1946470,56472422
31,2046453,56572405
60,3957917,58483869
32,2146471,60866727
32,2146477,60866733
33,2178547,60898803
34,2246461,60966717
34,2278559,60998815
35,2346473,61066729
35,2346480,61066736
36,2378548,61098804
63,4157763,62878019
37,2446481,65361041
37,2446489,65361049
38,2546483,65461043
38,2546490,65461050
40,2646464,65561024
41,2746484,65661044
41,2746490,65661050
42,2778550,65693110
42,2778554,65693114
43,2846463,65761023
43,2878547,65793107
44,2946464,65861024
46,3046490,65961050
48,3146471,66061031
48,3178558,66093118
49,3246470,66161030
49,3246478,66161038
50,3278580,66193140
51,3346470,66261030
51,3346474,66261034
51,3378581,66293141
52,3446481,66361041
52,3446487,66361047
53,3478560,66393120
54,3546450,66461010
54,3546458,66461018
54,3578560,66493120
55,3646481,66561041
56,3678571,66593131
57,3746460,66661020
57,3746467,66661027
58,3846480,66761040
58,3846487,66761047
60,3946484,66861044
60,3946491,66861051
60,3978581,66893141
61,4046470,66961030
63,4146477,67061037
63,4178571,67093131
16,1095854,68204718
2,152169,71455337
3,252177,71555345
4,284277,71587445
5,352167,71655335
17,1163624,72466792
7,484273,75981745
8,552167,76049639
8,552176,76049648
9,652176,76149648
10,684256,76181728
19,1295664,76793136
13,852185,80543961
13,852191,80543967
13,884274,80576050
14,952166,80643942
14,952176,80643952
16,1052173,80743949
16,1084286,80776062
17,1152190,80843966
18,1184277,80876053
19,1252180,80943956
19,1252184,80943960
20,1352168,81043944
20,1352174,81043950
21,1384276,81076052
22,1452186,81143962
23,1552167,81243943
23,1552175,81243951
25,1652176,81343952
25,1652183,81343959
25,1684276,81376052
26,1752176,81443952
27,1784286,81476062
28,1852196,81543972
26,1763694,85649774
29,1952196,85838276
30,1984263,85870343
31,2052194,85938274
32,2152176,86038256
34,2252200,86138280
34,2252203,86138283
35,2352190,86238270
37,2452178,86338258
38,2552189,86438269
38,2552196,86438276
40,2652156,86538236
40,2652170,86538250
40,2652177,86538257
40,2684263,86570343
41,2752167,86638247
42,2784277,86670357
42,2784284,86670364
43,2852197,86738277
43,2852206,86738286
44,2884257,86770337
45,2952176,86838256
46,3052180,86938260
48,3152166,87038246
49,3252187,87138267
49,3252194,87138274
50,3284277,87170357
51,3352197,87238277
51,3352203,87238283
